MisconceptionId,MisconceptionName
756,Believes unit fractions with a difference of 1 in the denominator have no other fractions between them
757,Adds rather than multiplies when asked for a product
758,Believes an outlier is a value that does not fit the same characteristics as the other values
759,Confuses a formula with an expression
760,Converts a fraction to a decimal by using the denominator after the decimal point
761,Subtracts instead of adds when finding a midpoint
762,Chooses an example when asked for a counter-example
763,Believes 'inclusive' does not include the end value
764,Confuses octagon and pentagon
765,Thinks there are 10kg in a tonne
766,Confuses the graphs of  direct and inverse proportion
767,Thinks there are 10 minutes in an hour
768,Finds the circumference of the whole circle instead of arc length 
769,Confuses the direction of vectors when adding or subtracting
770,Believes class width represents area of the bar in a histogram
771,Believes that the solutions to x<b or x>b also satisfy ax<b or ax>b
772,Rotates instead of reflects
773,Does not understand to find each interior angle of a regular polygon you divide the sum by the number of sides
774,"When subtracting mixed numbers, does not realise that a negative fractional answer needs to be taken away from their integer answer"
775,"When adding variables with powers, thinks they can add the powers"
776,Does not know how to compare size of angles on a grid without a protractor
777,"When describing the relationship between the parts in a ratio using a fraction, gets the numerator and denominator the opposite way around"
778,Struggles to visualise the new position of an object after transformations
779,"When multiplying multiples of ten and the answer requires an extra digit, leaves off that extra digit"
780,Believes the constant only gives the y-intercept for linear graphs
781,"When reading decimals on a number line, assumes each dash is 0.2"
782,Mixes up quantitative and qualitative data types
783,Thinks the sign of solutions in a quadratic equation is always the same as the constant term
784,Thinks there are 100g in a kilogram
785,Confuses co-interior and alternate angles
786,"Believes they write the digits next to each other instead of multiplying, when multiplying a vector by an integer."
787,Does not scale up a ratio to find an equivalent value
788,Believes all linear graphs show direct proportion
789,Does not understand the naming structure of polygons
790,Thinks the shape of the graph does not affect the area calculation
791,"In a worded problem, does not complete all calculations"
792,Expands when asked to simplify
793,Forgets to subtract sum of angles we know from 180 to find missing angle in a triangle
794,Rounds up rather than to one significant figure
795,Ignores the negative signs when adding positive and negative numbers
796,Draws both angles at the same end of the line when constructing a triangle
797,Reflects horizontally or vertically instead of across a diagonal line of symmetry
798,Believes all numbers in a prime factor tree are included in the list of prime factors
799,Only considers elements in one set when asked to find the union of multiple sets
800,Thinks you just add a % sign to the numerator to make a fraction into a percentage
801,Forgets to give the centre of rotation
802,"Thinks that when drawing the elevation, the top layer does not need to be included "
803,Believes an axis is scaled correctly if the marked values increase in a linear pattern (ignores the distance from the origin to the first value) 
804,Believes percentages cannot be converted into fractions
805,Believes a rotation and a reflection can be combined by applying the rotation to the mirror line
806,Thinks the number in the ratio is the total
807,Believes all quadratic equations have a solution of 0
808,Thinks they double rather than halve when finding the area of a triangle
809,Uses cos when tan is required
810,Believes the number outside the circles in a Venn represents the intersection
811,Believes they can multiply/divide through by a negative number without changing the direction of the inequality
812,When dividing numbers with the same base correctly subtracts the powers but divides the base numbers.
813,Believes parallel is the term used to describe two lines at right angles
814,Confuses circumference and radius
815,Counts in the wrong direction on a number line
816,Only counts visible faces
817,Believes adding numbers together gives the highest common factor
818,Believes the median is the category with the median frequency
819,"When drawing a cumulative frequency diagram, thinks you plot the upper bound of the class intervals on the vertical axis"
820,Does not know that you can leave a fraction in improper form
821,Mistakes rotations for translations
822,"When rounding, believes that if the number, after the required degree of accuracy, is a 5 or below you round down"
823,Assumes they multiply by the numerator of fractional index
824,"Believes rounding to 1 decimal pleace means rounding to the nearest integer, regardless of the value of the number"
825,"thinks when writing a mixed number fraction as an improper fraction, you need to multiply the denominator by the whole "
826,Confuses intersection and universal set
827,Believes when frequencies multiply by a scale factor in a table the mode also multiplies by that scale factor
828,Adds when calculating area instead of multiplying
829,Estimates angle rather than calculating
830,Gives an example of a factor instead of counting how many total factors a number has
831,Thinks subtraction calculates how many in 
832,Believes that a fraction with equal numerator and denominator cancels to 0
833,"When calculating perimeter, multiplies instead of adds"
834,"When asked for the next term in the sequence adds one to the last term given, despite the sequence not going up in ones."
835,Confuses a formula with an equation
836,Believes the mean is the middle number
837,Believes that rounding parts of a fraction in different directions means the answer will be the same. 
838,"When factorising a quadratic without a non variable term, tries to double bracket factorise"
839,"When dividing by a non unit fraction, thinks you multiply by the reciprocal of the corresponding unit fraction rather than the fraction given. "
840,Does not understand the place value of answers from a Napier's bones calculation
841,Does not subtract 2 from the number of sides when finding the sum of interior angles
842,Confuses the calculations for HCF and LCM
843,Does not see fraction diagrams as equivalent if the shading is in a different pattern
844,Thinks there are 100mm in a metre
845,Believes they can find the nth term based on the first term only
846,Thinks there are 1000ml in a centilitre
847,Thinks they can convert a 2 digit percentage to a fraction by writing one number over the other.
848,Believes when simplifying a fraction you can divide the numerator and denominator by different values
849,Thinks the nth term is when the value of the term is n
850,Thinks there are 10mm in a metre
851,Thinks a negative x value in a column vector means to move right rather than left 
852,Thinks there are 100 mg in a gram
853,Does not know how to check tessellation
854,Divided by 100 rather than multiplied by 100
855,Believes integers can have decimal places
856,"When asked to shade a fraction of a shape, gives the total number of parts rather than the number to be shaded."
857,"When the unknown (e.g. x) in an equation is a denominator, gives the value of 1/x rather than x as the answer"
858,Believes splitting a multiplication using the distributive property is the same as splitting it into factors
859,Believes they can factorise a difference of two squares by placing the constant in both brackets without square rooting
860,Mixes up clockwise and anticlockwise
861,Reads a power as a normal digit
862,Does not understand equivalent ratios
863,Believes inequalities can only include integers
864,Reads 0 on protractor as size of angle when angle is not in usual orientation
865,Does not recognise a unit of mass
866,Believes that the y intercept is where y = 0
867,When finding the area of a parallelogram does not understand which lengths to use
868,Believes a number raised to a power will always give a positive answer
869,Believes multiplying together prime factors that are not shared gives the highest common factor
870,Only counts visible vertices
871,Does not include brackets when attempting to multiply an expression
872,Thinks angles can only be measured when one line is horizontal
873,Believes that we cannot calculate the mean of negative numbers
874,Mistakes the place value column of hundred thousands with millions
875,Believes vertically opposite angles sum to 360 degrees
876,Believes squaring a negative number just changes the sign
877,Does not convert measurements to have the same units before calculating area or volume
878,"Counts on by 1, when asked to count forward/backwards in a step other than 1"
879,Thinks you apply one inverse operation to one term and the other inverse operation to the other term
880,Thinks a higher average means more consistent data
881,adds all given dimensions when calculating area
882,Believes 0 has no square root
883,"Believes mirror line must lie on a grid line, not in between grid lines"
884,"When asked for more, find the total"
885,Thinks they can simplify algebraic fractions by cancelling unlike variables
886,Believes that prime numbers cannot be even
887,"When using interpolation to estimate frequency, assumes half the frequency of the class containing the value will be above/below it, even if it is not the midpoint"
888,Does not understand the relationship between a ratio and fraction
889,"Believes when you plot a sequence, the line always passes through (0, 0)"
890,Thinks they had to give the new amount rather than the total percentage that the original has been increased by.
891,Incorrectly cancels what they believe is a factor in algebraic fractions
892,Believes each vertical line on a box plot represents 1 piece of data
893,"Believes when changing an improper fraction to a mixed number you divide the numerator by 10, regardless of the denominator"
894,Believes expanding a squared expression means writing it as a set of double brackets
895,Believes a line of reflection must be touching the original shape
896,"When adding fractions with identical numerators, leaves the numerator and adds the denominators"
897,Does not recognise an example of the alternate segment theorem
898,Thinks x = 0 is the x axis
899,Does not recognise parallel lines angle rules
900,Believes the constant gives the y-intercept even when a line is not written in the form y = mx + c
901,Finds unit price but doesn't multiply up for number in question
902,Thinks 1 squared is 2
903,"Has increased by the value of the first value, rather than the difference"
904,Has taken the percentage from the original 
905,"Thinks the movement of the top number in a column vector is vertical, and the bottom number is horizontal rather than the other way round"
906,Does not know that sample size affects reliability
907,Does not find a common denominator when adding/subtracting fractions
908,"When adding or subtracting surds, believes the numbers under the root and the numbers in front should both be added or subtracted"
909,Mixes up squaring with dividing by 2
910,Cannot identify the correct side lengths to use when asked to find the area of a face
911,Only multiplies the numerical terms when expanding a bracket
912,Thinks adding the same value to each side makes shapes similar
913,Believes the numerator stays the same when calculating a second pick of the same type without replacement on a tree diagram
914,Finds 10% of an amount rather than the percentage being asked
915,Does not recognise metres as a unit of length
916,Thinks the fraction bar means multiply rather than divide
917,Believes every direct or inverse proportion question uses the formula p=kq
918,Confuses x and y axes
919,Believes the gradient of a speed-time graph is the distance
920,Believes that the cumulative frequency of an interval of grouped data can be used as the cumulative frequency for any value in that interval
921,Reads the wrong scale on the protractor when measuring acute angles
922,Believes we can only take the square root of a perfect square
923,Thinks index notation represents repeated addition rather than repeated multiplication
924,Believes to find the proportion of a pie chart sector you do frequency/sum of other frequencies rather than frequency/overall total
925,Believes the gradients of perpendicular lines are reciprocals of the same sign
926,Believes the number of sides gives the order of rotational symmetry
927,Assumes that opposite angles in a quadrilateral sum to 180 degrees
928,Divides when converting to a larger unit
929,"When using the capture-recapture method of sampling, believes you add the number marked first to the number caught second and add that to the number marked second to get the best estimate of population size"
930,When solving simultaneous equations thinks that identical terms in given equations can be eliminated by either adding or subtracting.
931,Does not understand where to place inputs/ operations/ outputs when drawing a function machine
932,Adds instead of multiplies when calculating total frequency
933,Does not know the meaning of corresponding
934,Thinks the subtraction sign means divide
935,Fails to use the properties of simple shapes to work out missing lengths
936,Thinks the first term in a sequence is the term before the sequence begins (0th term)
937,"When adding or subtracting surds, simplifies the surds correctly but puts the digits in the answer the wrong way round"
938,"Thinks 1 square metre = 100,000 cubic centimetres"
939,Describes position to term rule using term to term rule
940,When writing a function as a function machine confuses the input and the output.
941,Does not recognise that subtracting a larger number from a smaller number will give a negative answer
942,Thinks you need to include the total as well as the individual parts when asked to write a ratio
943,Divides by (n-2) rather than n when finding an interior angle
944,"When dividing involving a power of 10, gives an answer 10 times bigger than it should be"
945,Does not think a number can be a multiple of itself
946,Believes a proportion of a whole is whole/part not part/whole
947,Makes the number negative when asked to find the reciprocal
948,Believes squaring is the same as adding two
949,Confuses midpoint and gradient between two points
950,Thinks there are 5 days in a week
951,Only recognises the positive form of a quadratic graph
952,Adds the index to the number
953,Believes you cannot find the modal category from a pie chart unless given the total frequency
954,"Confuses adding 3 with cubing, in algebra"
955,"When multiplying, treats digits in other columns as if they are units"
956,Thinks that fractions involving a fraction as the denominator can just be read as mixed numbers
957,Believes the mean must be an integer
958,Misunderstands how to calculate the upper bound in subtraction
959,Believes it is impossible to subtract a bigger number from a smaller number
960,Divides by the index
961,Does not spot the difference between a gradual change of gradient and 2 distinct line segments with different constant gradients
962,Thinks 1 cubic metre = 1000 cubic centimetres
963,Thinks there are 50 minutes in 1 hour
964,"When dividing involving a power of 10, gives an answer 10 times smaller than it should be"
965,Adds the numerators when working out a combined probability
966,Gives an answer of 0 when there are no solutions to an equation.
967,"When solving simultaneous equations graphically, only gives one of two solutions"
968,Confuses powers and multiples
969,Believes you can subtract from inside brackets without expanding when solving an equation
970,"In inverse proportion, believes k is the total of the two variables "
971,Believes that adding a negative will increase the value of the original number
972,Does not realise that if the horizontal and vertical measurements of a diagonal line segment switch it remains the same size
973,Finds area of whole circle rather than area of sector
974,Believes multiplying a positive by a negative gives a positive answer
975,"When solving an equation, multiplies instead of dividing "
976,"Thinks a Fibonacci sequence must start with 1, 1"
977,Confuses the sign for parallel lines as being dashes
978,"When completing the square, believes the constant in the bracket is the coefficient of x"
979,Thinks can combine the numerator and denominator after simplifying an algebraic fraction
980,Hasn't lined up the place value columns when writing out the calculation
981,Believes inequalities cannot be combined
982,Calculates perimeter when asked for area
983,"When the dividend is a mixed number and the divisor is an integer, thinks they only divide the fraction by the integer."
984,Writes the numerator of an improper fraction as the number of wholes when converting to a mixed number
985,Believes that repeated percentage change is equivalent to a single change by the sum of the percentages
986,Does not understand that a remainder can be written as a fraction
987,Believes that the order of a worded calculation should be changed to follow BIDMAS 
988,"When converting a percentage to a decimal, just writes all the digits after a decimal point."
989,Does not understand that area under a speed time graph gives distance because distance = speed x time
990,Does not realise you can use equivalent fractions to break fractions up into smaller divisions
991,Believes that when finding area under graph you can use the upper y value rather than average of upper and lower
992,"Thinks they find the length of a line between 2 points by adding coordinates, rather than subtracting"
993,Believes the length of the arms influence the size of the angle
994,"When completing the square in the form (x - a)^2 + b, believes b = a^2 + the original constant"
995,Believes the lowest common multiple is found my multiplying the numbers together
996,Does not know that units of volume are usually cubed
997,Subtracts instead of multiplies
998,"When the final stage of solving a problem is ""variable to a power"" = constant, assume the constant is the answer, without finding the root."
999,Confuses the method of selection with the group selected in statistics
1000,Draws false conclusion from a pie chart
1001,Does not know how to divide a fraction by an integer
1002,Thinks the elevation is the plan view of a shape
1003,"Believes the equation of a vertical line is in the form y = ax, where a is the x intercept"
1004,Thinks that a number in front of a bracket means divide
1005,"Carries out operations from left to right regardless of priority order, unless brackets are used"
1006,Believes the mean is something divided by the number of categories given
1007,Does not connect rotational symmetry to number of sides/vertices
1008,"When dividing an integer by a fraction, thinks they multiply numerator and denominator by the integer"
1009,Does not know the meaning of bisect
1010,Believes the largest number in a set of numbers is always their highest common factor
1011,Does not know the distributive property
1012,Squares when asked to find the square root
1013,Answers as if there are 100 minutes in an hour
1014,Believes the frequency of the midpoint of a group is half the total frequency of the group
1015,"When answering questions regarding adding items to get a new ratio, looks at the difference between the numbers in the original and new ratio rather than finding the size of a part"
1016,Confuses the hundreds and hundred thousands place value columns
1017,Does not understand how to solve linear two step equations
1018,Thinks the fraction 1/n can express sharing n items between any number of people
1019,Believes class width = frequency density
1020,Believes it's not possible to solve simultaneous equations graphically
1021,Believes an outlier is not determined by distance from the mean
1022,Believes you multiply matching bases when carrying out a multiplication
1023,Believes that the complement of a set in a triple Venn consists of the elements that only belong to one other set
1024,When solving an equation thinks they add when in fact they need to multiply
1025,Forgets to include the intersection value when asked for total value of a set in a Venn diagram
1026,Does not reverse the order of operations when finding the input of a function machine
1027,Believes the median is the frequency for the middle category in a table
1028,Multiplies up without finding unit price in proportion question
1029,Does not understand that a line graph shows a relationship between 2 variables
1030,When dividing numbers with the same base divides the base numbers and the powers
1031,Believes raising a negative number to an odd power will give a positive answer
1032,Confuses cube rooting with squaring a number
1033,Does not know that you can have a decimal percentage
1034,believes the complement of a set consists of elements which only belong to one set
1035,"When multiplying a decimal less than 1 by an integer, gives an answer 10 times smaller than it should be"
1036,"Only gives 1 value of x for a given value of y, when reading from a parabolic graph"
1037,Believes time = speed x distance
1038,Thinks reciprocal button raises to a power
1039,Believes finding a percentage of an amount involves adding the percentage to 10% of the amount
1040,Does not measure bearing clockwise from the north line
1041,Does not know a rhombus is a type of parallelogram 
1042,"When dividing a number written in standard form by an integer, thinks you divide the power on the ten rather than the number component."
1043,Mixes up cubes and cuboids
1044,Misremembers the quadratic formula
1045,"Believes reading from a cumulative frequency diagram will give the frequency above a certain value, rather than below"
1046,Does not understand remainders in division
1047,Estimates a measurement on a diagram rather than working it out
1048,"When adding/subtracting fractions, adds/subtracts the denominators and multiplies the numerators"
1049,Misunderstands the process of making a variable the subject of an equation
1050,Thinks there are 10g in a kilogram
1051,"When multiplying by a multiple of 10, gives an answer 10 times bigger than it should be"
1052,Uses length scale factor for volume without cubing
1053,"Believes that when converting ratio to fractions, the denominator is the product of the parts of the ratio"
1054,Performs subtraction in wrong order
1055,Does not notice all changes in a sequence of visual patterns
1056,Chooses an incorrect point in between the shapes when describing a 90 or 270 degree rotation
1057,Finds the unit fraction when asked to find a non-unit fraction of an amount
1058,"Believes that in the nth term of a descending sequence, b is the difference between the term and the positive multiple of n"
1059,Does not know the definition of the range
1060,Thinks positive values in a column vector denote movement left and down (and vice-versa for negative values).
1061,When asked to rotate by 90 degrees rotates by 180 degrees
1062,"When using the capture-recapture method of sampling, believes you divide the number caught second by the number marked second to find the best estimate of population size"
1063,Adds rather than multiplies when asked for a total
1064,Confuses the union and intersection of inequalities
1065,Does not recognise a unit of area in word form
1066,Does not think that the compensation strategy for the multiplication of 2 numbers is valid.
1067,Confuses measures of turn (ie. degrees) and measures of length
1068,Believes the fx column for calculating mean is value + frequency
1069,Assumes an angle is the size that it looks in the (not to scale) diagram
1070,Believes that dividing by 10 gives 1%
1071,Confuses obtuse and acute angles
1072,Multiplies by the index
1073,Believes if you add the same value to all numbers in the dataset the range will change
1074,Multiplies rather than divides
1075,When asked to add fractions uses the method for multiplying fractions instead.
1076,Cancels digits when dividing
1077,Believes all multiples of odd numbers are odd
1078,"Ignores numbers written as words in worded questions, and just calculates using those written in digits"
1079,Believes factors add to give a number
1080,Believes there are 20 minutes in an hour
1081,"When subtracting fractions, divides the numerators"
1082,"When multiplying with negative numbers, assumes any negative sign can be ignored"
1083,Does not know the meaning of uniform cross section
1084,Has removed brackets but not performed the operation
1085,Multiplied the powers rather than added them
1086,Thinks the perimeter of a sector is the same as arc length 
1087,Thinks the interior angles of a polygon add up to 100n
1088,Believes you add the denominators when finding a fraction of another fraction
1089,Cannot identify mutually exclusive events
1090,Doesn't recognise commutativity of addition with negative numbers
1091,Confuses a variable with a formula
1092,Cannot spot a coefficient within a written scenario
1093,Has multiplied the value of the first term by the the term being asked
1094,Believes when frequencies multiply by a scale factor in a table the mean also multiplies by that scale factor
1095,Believes that vectors of different magnitudes can be equal.
1096,Thinks there are 10cl in a millilitre
1097,Is not able to identify a situation where Pythagoras' Theorem is needed
1098,Finds the mean instead of the range
1099,Believes gradient at a point = y coordinate/x coordinate
1100,Believes direct proportion means a 1:1 ratio
1101,Believes stratified samples should be evenly split
1102,Believes that addition should be used when finding the difference between two values on a time series graph
1103,"When reading integers on a number line, assumes each dash is 2"
1104,Simplifies integers when simplifying a mixed number
1105,Rounds every number to the same degree instead of rounding to significant figures when estimating 
1106,Divides 360 degrees by sum of sides rather than given amount of angles
1107,Converted hours to minutes instead of hours to seconds
1108,"Believes  c, in y=mx+c, will be the y value of the coordinate given despite the x coordinate not being 0."
1109,"On a cumulative frequency diagram, believes the total frequency is the top of the frequency axis rather than the top of the curve"
1110,Does not think that -n + n = 0
1111,Does not understand the term 'linear'
1112,"When using Pythagoras' theorem to find a missing side, thinks you multiply the sides together then square root"
1113,"When substituting a value into a non-linear term with a coefficient, multiplies by the coefficient then calculates the power."
1114,Believes they can change the subject of a formula just by swapping two letters
1115,Identifies the term-to-term rule rather than the next term in a sequence
1116,Multiplies coefficients and letters separately and writes as an addition
1117,"When finding a missing length on similar shapes, just find the scale factor"
1118,Thinks the smallest bar in a bar chart is the mode
1119,Does not interpret the correct order of operations in a fraction when there is an addition on the numerator
1120,Thinks there are 100 ml in a litre
1121,Believes biased selection methods can be random
1122,"When enlarging a shape, thinks the scale factor divides the movement from the centre of enlargement to a vertex rather than multiplies"
1123,Subtracts rather than dividing to find unit price
1124,When ordering numbers in standard form just looks at the decimal without multiplying by a power of 10
1125,Multiplies rather than adds when answering worded problems
1126,Believes the mean is always representative
1127,Believes the variable should remain in place after substituting its value
1128,Does not know how to interpret a fraction worded problem 
1129,"When finding a missing part in a ratio, divides rather than multiplies"
1130,Does not know how to solve linear equations involving fractions
1131,"When adding fractions, multiplies the numerators"
1132,Does not understand that a probability of 1 represents something that is certain
1133,Does not recognise a quadratic graph
1134,"When solving an equation, adds instead of dividing"
1135,"When subtracting a negative number, adds the absolute values and then writes the answer with a negative sign"
1136,"Believes that a general trend of an increase or decrease over time, on a statistical diagram, means that the slope must be in the same direction for the whole time period"
1137,"When squaring a variable with a power, thinks that the power is squared rather than doubled. "
1138,Subtracts the smallest digit from the largest digit
1139,Confuses the lines y=x and y=-x
1140,"When simplifying surds, adds the number on the outside of the surd to the number under the surd"
1141,Believes all grouped frequency table need a midpoint column
1142,"When converting from an improper fraction to a mixed number, adds on the part left to make the whole, rather than subtracting it"
1143,Mixes up the terms for the parts of a fraction
1144,"Believes the equation for a horizontal line is in the form xy = a, where a is the y intercept"
1145,"When adding column vectors, multiplies rather than adds"
1146,"When solving simultaneous equations, believes the terms must be of opposite signs in order to be eliminated."
1147,"When solving a 'more than' problem, believes the first step is to halve the total rather than setting up an equation to help solve"
1148,Uses an incorrect side length when splitting a composite shape into parts
1149,Believes perpendicular is the term used to describe two lines that are parallel
1150,Does not believe you can scale up a proportional statement
1151,Believes they can round when converting units
1152,"When dividing fractions, does the reciprocal of the first fraction instead of the second"
1153,Believes they can ignore the coefficient when expanding double brackets 
1154,Believes midpoints are plotted on histograms
1155,Starts at the wrong end of the dividend when dividing
1156,"When dividing a fraction by an integer, divides the denominator by the integer"
1157,Rounds every number up when estimating
1158,Believes you can go above an amount of money when finding how much of something you can buy
1159,"When comparing non like surds, does not square the surds"
1160,Thinks you can find missing values in a given table by treating the row as a sequence of consecutive numbers
1161,Thinks 1 square metre = 10 square centimetres
1162,Mixes up the inequality signs in an error interval
1163,Does not understand you can round to numbers other than powers of 10
1164,Believes linear sequences cannot include fractions
1165,Rounds to the nearest integer rather than one significant figure
1166,"When subtracting a fraction from a mixed number, assumes they subtract the numerator from the integer and the numerator of the mixed number"
1167,Does not recognise millimetres as a unit of length
1168,Believes both the x and y co-ordinates of the x-intercept of a quadratic are derived from the constants in the factorised form.
1169,Does not know that cubic means the same as cubed in units
1170,Confuses the order of the digits in stick multiplication
1171,"When solving a problem using written division (bus-stop method), puts the dividend in the wrong place"
1172,Thinks any 2 values multiplied together can be denoted with a squared symbol
1173,Uses the numerator of an improper fraction as the denominator of the equivalent mixed number
1174,Believes the mean from grouped data is the sum of the midpoints divided by something
1175,Uses base instead of height as h in area of a trapezium formula
1176,Confuses isosceles and equilateral triangles
1177,Identifies the biggest value for the range
1178,Does not count both edges when turning a corner when counting perimeter
1179,Forgets to multiply up for the correct time frame in a worded question
1180,Does not know the properties of a rectangle
1181,When solving an equation thinks they divide when in fact they need to multiply
1182,"Believes only the decimal places with dots above them recur, not the whole string"
1183,Does not include units in answer.
1184,Identifies the wrong part of a fraction model as the whole
1185,"When rationalising the denominator, believes only the numerator or the denominator needs to be multiplied by the surd"
1186,"Believes when identifying the mode you look at all values, not just frequencies, for the highest number"
1187,Does not realise that gradient represents rate of change
1188,Reads the wrong scale on the protractor when measuring obtuse angles
1189,Does not understand that adding on to a multiple can give you the next multiple
1190,"When solving an equation, subtracts instead of dividing"
1191,Believes that the sign changes when factorising an expression into single brackets
1192,Believes all triangles have a right angle
1193,Multiplies up without finding unit amount
1194,Forgets to halve when finding the missing base angles of an isosceles
1195,Gives the change in value when asked for the percentage change
1196,"When solving an equation where there is a negative sign in front of the variable at the final stage, believes they can ignore it and treat it as if it's positive"
1197,Confuses frequency and frequency density
1198,Does not recognise that a linear sequence must increase or decrease by same amount
1199,Thinks that co-interior angles can lie on opposite sides of a transversal 
1200,Finds the IQR rather than the range
1201,Finds the arc length instead of the area of the sector 
1202,Does not understand that an acute angle is between 0 and 90 degrees
1203,Believes that to find an angle for a pie chart sector you divide the total frequency by 360 and multiply by its frequency
1204,Multiplied by 100 rather than divided by 100
1205,Thinks a variable next to a number means addition rather than multiplication
1206,Does not understand how to maintain equivalence in fractions
1207,Does not realize we can write a division as a fraction
1208,Believes the subtraction button writes a fraction
1209,Believes a mixed number can contain an improper fraction
1210,Does not recognise millilitres as a unit of volume
1211,Believes number of squares in a bar gives frequency on a histogram
1212,Thinks a greater number of shaded parts represents a greater fraction
1213,"When finding the differences between terms in a sequence, believes they can do so from right to left "
1214,"When solving an equation, uses the same operation rather than the inverse."
1215,"Includes a data point with the value, when asked to find the number of data points above a value"
1216,Believes a curve can show a constant rate
1217,Assumes the perpendicular height of a triangle bisects the base
1218,Multiplies the numerators when adding fractions with a common denominator
1219,Gives the value for the wrong variable when answering a simultaneous equation question
1220,Does not include zero when counting over zero
1221,Converts a decimal to a fraction by writing 1 over the digits of the decimal
1222,Forgets the denominator in probability
1223,Uses numerators to convert fractions to ratio despite different denominators
1224,Does not understand the diagram given in the question
1225,Believes you don't need to numerically order the data before calculating the median
1226,Does not recognise the distributive property
1227,Forgets that a number without an indice is to the power of 1 
1228,Believes sets are the same if the elements within them have a shared property
1229,Confuses chord and circumference
1230,Believes you cube the conversion factor when dealing with squared units
1231,Does not know that 7 and -7 are different
1232,"Thinks the longest bar has the highest frequency on a pictogram, even if the symbols aren't evenly spaced"
1233,"Believes that when eliminating a variable, if the signs of the terms with matching coefficients are the same, we add the equations."
1234,Believes f(x + a) translates the function up a units
1235,"When completing the square in the form (x - a)^2 + b, believes b is the difference between a and the constant of the original quadratic"
1236,Thinks the plan view is taken from an angle to include aspects of the side view and plan
1237,Believes that 1 part of a bar model will always have a value of 1
1238,Does not realise the lines at an intersection have to be straight in order to show vertically opposite angles
1239,Believes a cubic equation will have a quadratic graph
1240,Thinks the first term of a sequence must be 1
1241,Subtracts instead of divides when division is written as a fraction
1242,Does not recognise the similar shape as the shape has been rotated and the scale factor is less than 1
1243,Believes when given a fraction and an amount the question must be to find the fraction of the amount. 
1244,The student does not understand the place value of 3-digit numbers
1245,Believes a number written in standard form with a negative power creates a larger number than that with a positive power
1246,"When adding fractions, uses addition of the denominators as a common denominator"
1247,Assumes you cannot use the fact that multiplication is commutative when simplifying an algebraic term. 
1248,Rounds to the wrong degree of accuracy (rounds too little)
1249,"Believes 'given that a, what is the probability of b?' means 'given that b, what is the probability of a?'"
1250,Correct scale but wrong value on protractor reading.
1251,"Correctly finds the reciprocal of a number, but believes it should be opposite in sign to the original number."
1252,Doesn't know the area of a triangle formula
1253,"Thinks 1 cubic metre = 100,000 cubic centimetres"
1254,"Believes that if there are two unknowns in an equation, all integers must be possible solutions"
1255,Adds rather than multiplies for combined probabilities
1256,Believes the difference of 2 squares method of factorising also works for the addition of 2 squares
1257,Assumes a 1/4 of a whole is 25
1258,"When calculating a scale factor, thinks they need to subtract rather than divide."
1259,Believes division is sometimes commutative 
1260,Gives number of sections of pie chart rather than the amount it represents
1261,Thinks if you multiply a fraction by itself you get a whole
1262,"Believes that they can fully factorise an expression by taking out any common factor, not just the HCF"
1263,Does not understand the definition of a rational number when it is a surd
1264,Finds the median instead of the mode
1265,"When describing a translation, goes from the image to the original"
1266,"When solving simultaneous equations, thinks they can ignore one of the variables"
1267,Identifies a number as a common factor but doesn't identify a letter as a common factor
1268,"When solving simultaneous equations, thinks you only transform the algebraic terms, rather than the whole equation."
1269,Confuses left and right
1270,Divides by 10 instead of 100 when converting a percentage to a decimal 
1271,Confuses chord and radius
1272,Gives a rounded whole number instead of a decimal
1273,Thinks they start on the left when doing long multiplication 
1274,Subtracts simultaneous equations when addition is required
1275,Does not relate integers and fractions
1276,"Believes that the y intercept is (0, y) where y is any y coordinate on the line"
1277,"In algebra, thinks it's ok to write (for example) 0x rather than just 0"
1278,Believes the subscript in iteration notation is the value to be substituted
1279,Confuses right angle triangles and equilateral triangles
1280,"When multiplying fractions, multiplies the numerator and adds the denominator"
1281,Does not understand that similar shapes and enlarged shapes will have the same size angles as the original
1282,When subtracting a negative thinks the answer must be negative 
1283,Believes a polygon can have curved sides
1284,Thinks only like terms can be multiplied
1285,Believes a vertical line has equation y=
1286,believes the complement of a set consists of anything that is not just in that set
1287,Believes if you changed all values by the same proportion the range would not change
1288,Believes the intersection on a Venn diagram represents the total of one set
1289,Does not understand that the area of an enlarged shape is the area of the original multiplied by the square of the scale factor of the lengths.
1290,Reads the wrong scale on the protractor when measuring reflex angles
1291,"Thinks they solve mx + c = a, by substituting in the value of a for x and therefore calculating ma + c"
1292,Does not realise that the area of a triangle is half the area of the contatining rectangle
1293,Identifies how much repeated use of the term-to-term rule changes a number but does not apply to the sequence
1294,"When solving an equation where there is a negative sign in front of the variable and its equivalent value, assumes the variable has a negative value"
1295,"When finding part of the area of a shape, subtracts from the side length before multiplying but still subtracts the unshaded area too."
1296,Believes there are 90 degrees in a full turn
1297,Believes you keep the divisor unchanged when dividing by a fraction
1298,Thinks multiple letters can be subtracted at once in Roman numerals
1299,Ignores the zero when multiplying
1300,"In direct and inverse proportion, forgets to find the value of k, and carries out calculations as though k were 1"
1301,"When subtracting a surd from an integer, just subtracts the number under the surd from the integer"
1302,"In ratio question where the difference between the sides is given, uses that as one part without dividing"
1303,Believes y=-f(x) is a reflection in y=-x
1304,Confuses lines of the form y = a and y= ax
1305,believes that a fraction with the largest denominator will be smallest regardless of the numerator
1306,Finds the median instead of the range
